cod_fundo;nome;classe;situaçao;inicio;atualização
82864; BRADESCO FIA IBX PLUS;ações; A; 2000-09-04; 2019-06-13T11
82945; GAP EXCLUSIVE FC FI MULT CRED PRIV IE; Multimercados; A; 2000-11-01; 2019-12-09T15
83038; NIC KIDS FIC FIA;ações; A; 2000-11-01; 2020-09-11T11
83232; BRADESCO FIC RF PGBL HIPERPREV; PrevidÃªncia; A; 2000-11-03; 2019-11-01T18
83356; BRAD FIC MULTIMERCADO PGBL HIPERPREV V15; PrevidÃªncia; A; 2000-11-03; 2019-11-01T18
83402; AAA ACOES FIC FI ACOES;ações; A; 2000-10-30; 2019-05-31T11
83712; ICATU SEG COMPOSTO 10E FC FI MULT; PrevidÃªncia; A; 2000-03-15; 2019-11-01T17
83720; ICATU SEG MODERADO E FIC FI RENDA FIXA; PrevidÃªncia; A; 2000-03-15; 2019-12-09T15
83739; ICATU SEG COMPOSTO 20E FC DE FI MULT; PrevidÃªncia; A; 2000-03-15; 2019-11-01T15
83811; BRADESCO H FC FI RF REF DI LP PJ PLUS; Renda Fixa; A; 2000-12-06; 2017-11-28T18
83828; BRADESCO H FC FI RF REF DI LP PJ; Renda Fixa; A; 2000-12-06; 2020-06-02T16
83852; SUL AMERICA TAMMAR FI MULT CRED PRIVADO; Multimercados; A; 1999-05-14; 2019-07-02T17
83941; SANTANDER FI IBRX ACOES;ações; A; 2000-10-10; 2019-10-01T20
83976; MB PREV X RF FIF CRED PRIV; PrevidÃªncia; A; 2000-11-03; 2019-10-31T18
84360; BRADESCO PRIVATE FI RF ATIVO; Renda Fixa; A; 2000-12-01; 2017-06-26T16
84433; FLAMBOYANT MULT IE FI; Multimercados; A; 2000-12-28; 2016-08-03T10
84451; ITAU FLEXPREV FSA  TM MULT CRED PRIV FI; PrevidÃªncia; A; 2000-12-28; 2019-11-01T17
84662; BRADESCO FIC RF PGBL FINASA; PrevidÃªncia; A; 2000-12-13; 2019-11-01T18
84697; FI FATOR PREVIDENCIA MULTIMERCADO; PrevidÃªncia; A; 2000-12-28; 2019-11-01T15
84794; SULAMERICA MIX 49 FICFI MULTIMERCADO; PrevidÃªncia; A; 2000-12-26; 2019-10-31T18
84808; SULAMERICA FIX 100 FI RENDA FIXA; PrevidÃªncia; A; 2000-12-26; 2019-10-31T18
85073; BRADESCO FIC MULTIMERCADO PGBL V15 20; PrevidÃªncia; A; 1999-12-24; 2019-11-01T18
85081; BRADESCO FIC MULTIMERCADO PGBL V15 30; PrevidÃªncia; A; 1999-12-02; 2019-11-01T16
85146; BRADESCO FIC MULTIMERCADO PGBL V40 20; PrevidÃªncia; A; 2000-03-27; 2019-11-01T18
85154; BRADESCO FIC MULTIMERCADO PGBL V30 20; PrevidÃªncia; A; 2000-03-27; 2019-11-01T18
85170; BRADESCO FIC RF PGBL F10; PrevidÃªncia; A; 2000-11-01; 2019-11-01T18
85219; BB MILENIO 10 FI RENDA FIXA LP; Renda Fixa; A; 2000-12-21; 2020-03-10T16
85677; UNIBANCO FAPI CONSERVADOR; PrevidÃªncia; A; 1998-06-01; 2019-11-01T17
86010; CSHG VERDE AM STRATEGY II FC FI ACOES;ações; A; 1999-10-28; 2020-06-02T16
86142; FIQFI FATOR FABASA ITAPOA MULTIMERCADO; Multimercados; E; 2001-02-06; 2020-01-07T16
86411; ITAU FLEXPREV CORPORATE I   FICFI RF; PrevidÃªncia; A; 2001-03-16; 2019-11-01T17
86479; FI MULT CRED PRIV PB KYMA; Multimercados; A; 2001-02-07; 2018-04-20T12
86517; BNPP BROOKLINE FI MULT CRED PRIV; Multimercados; A; 2001-01-31; 2018-07-27T13
86657; BRADESCO FIC RF PGBL CAEMI F15; PrevidÃªncia; A; 2000-12-06; 2019-11-01T18
86665; ITAU ALFA RENDA FIXA FI; Renda Fixa; A; 2001-03-16; 2015-10-03T13
87009; BB RF REFERENCIADO DI LP  PRIVATE FC FI; Renda Fixa; A; 2001-03-27; 2020-06-09T16
87041; BB ESPELHO MULT TRUXT I MACRO PRIVATE FC; Multimercados; A; 2001-03-27; 2020-04-27T16
87157; BB ESP MULT BTG PACTUAL EXPLORER PRIVATE; Multimercados; E; 2001-03-29; 2020-06-02T16
87300; FUNDO DE INVESTIMENTO RENDA FIXA ACRE; Renda Fixa; A; 2001-03-15; 2019-12-09T15
87319; BB CAMBIAL EURO LP FC; Cambial; A; 2001-03-29; 2019-11-18T15
87351; ITAUPREV MASTER V20 MULT FICFI; PrevidÃªncia; A; 2001-04-06; 2019-11-01T16
87386; BNP EQD BRAZIL FUND FI MULT CRED PRIV IE; Multimercados; A; 1999-11-17; 2019-08-27T17
87408; ITAU ESPECIAL RF REFERENCIADO DI FICFI; Renda Fixa; A; 2001-04-02; 2016-07-27T09
87416; ITAU ESPECIAL RENDA FIXA FICFI; Renda Fixa; A; 2001-04-02; 2015-10-02T21
